light_model,heavy_model,threshold,latency,fid
0,1,0.0,0.5,29.76
0,1,0.1,0.63,28.63
0,1,0.2,0.76,27.84
0,1,0.30000000000000004,0.89,27.22
0,1,0.4,1.02,26.64
0,1,0.5,1.15,26.06
0,1,0.6000000000000001,1.28,25.57
0,1,0.7000000000000001,1.41,25.16
0,1,0.8,1.54,25.02
0,1,0.9,1.67,25.02
0,1,1.0,1.8,25.23
0,2,0.0,0.5,29.76
0,2,0.1,1.8,27.47
0,2,0.2,3.1,26.03
0,2,0.30000000000000004,4.4,24.89
0,2,0.4,5.7,23.89
0,2,0.5,7.0,22.97
0,2,0.6000000000000001,8.3,22.13
0,2,0.7000000000000001,9.6,21.46
0,2,0.8,10.9,21.05
0,2,0.9,12.2,20.76
0,2,1.0,13.5,20.61
0,3,0.0,0.5,29.76
0,3,0.1,3.2,27.46
0,3,0.2,5.9,25.93
0,3,0.30000000000000004,8.6,24.69
0,3,0.4,11.3,23.59
0,3,0.5,14.0,22.46
0,3,0.6000000000000001,16.7,21.63
0,3,0.7000000000000001,19.4,20.83
0,3,0.8,22.1,20.36
0,3,0.9,24.8,19.97
0,3,1.0,27.5,19.95
1,2,0.0,1.3,25.23
1,2,0.1,2.6,23.85
1,2,0.2,3.9,22.94
1,2,0.30000000000000004,5.2,22.37
1,2,0.4,6.5,21.79
1,2,0.5,7.8,21.41
1,2,0.6000000000000001,9.1,21.18
1,2,0.7000000000000001,10.4,20.98
1,2,0.8,11.7,20.81
1,2,0.9,13.0,20.77
1,2,1.0,14.3,20.61
1,3,0.0,1.3,25.23
1,3,0.1,4.0,23.96
1,3,0.2,6.7,23.13
1,3,0.30000000000000004,9.4,22.51
1,3,0.4,12.1,21.93
1,3,0.5,14.8,21.4
1,3,0.6000000000000001,17.5,20.99
1,3,0.7000000000000001,20.2,20.63
1,3,0.8,22.9,20.34
1,3,0.9,25.6,20.13
1,3,1.0,28.3,19.95
2,3,0.0,13.0,20.61
2,3,0.1,15.7,20.26
2,3,0.2,18.4,20.02
2,3,0.30000000000000004,21.1,19.75
2,3,0.4,23.8,19.48
2,3,0.5,26.5,19.42
2,3,0.6000000000000001,29.2,19.45
2,3,0.7000000000000001,31.9,19.44
2,3,0.8,34.6,19.49
2,3,0.9,37.3,19.68
2,3,1.0,40.0,19.95
