sdxlltn,sd35turbo,sd35med,sd35large
19,10,10,10
23,20,14,12
25,19,16,12
23,21,21,17
0,28,5,0
0,25,3,0
0,23,3,0
0,23,2,0
0,25,1,0
29,9,0,0
23,18,0,0
24,15,0,0
23,17,0,0
24,17,0,0
26,16,0,0
25,12,0,0
24,18,0,0
25,16,0,0
23,13,0,0
13,20,0,0
22,18,0,0
24,16,0,0
24,17,0,0
25,15,0,0
24,10,0,0
23,11,0,0
25,7,0,0
24,9,0,0
23,8,0,0
25,17,0,0
23,8,0,0
24,7,0,0
24,9,0,0
25,8,0,0
23,15,0,0
23,10,0,0
25,15,0,0
24,12,0,0
23,12,0,0
22,18,0,0
23,18,0,0
24,19,0,0
24,14,0,0
23,15,0,0
26,20,0,0
23,14,0,0
25,15,0,0
24,14,0,0
23,12,0,0
27,4,0,0
25,6,0,0
23,9,0,0
24,11,0,0
25,6,0,0
20,9,0,0
24,9,0,0
24,11,0,0
23,10,0,0
24,12,0,0
21,15,0,0
24,17,0,0
23,17,0,0
25,11,0,0
24,17,0,0
23,15,0,0
25,13,0,0
22,18,0,0
25,15,0,0
24,20,0,0
23,12,0,0
25,11,0,0
24,11,0,0
24,16,0,0
24,15,0,0
24,13,0,0
23,11,0,0
24,12,0,0
25,12,0,0
23,11,0,0
25,10,0,0
23,14,0,0
23,12,0,0
25,9,0,0
23,14,0,0
22,15,0,0
21,13,0,0
25,12,0,0
24,8,0,0
23,11,0,0
25,12,0,0
22,13,0,0
25,16,0,0
24,15,0,0
24,14,0,0
23,12,0,0
24,16,0,0
25,16,0,0
24,8,0,0
23,17,0,0
25,12,0,0
24,16,0,0
24,11,0,0
24,8,0,0
24,11,0,0
23,11,0,0
25,11,0,0
23,10,0,0
24,7,0,0
24,11,0,0
21,12,0,0
23,9,0,0
24,15,0,0
24,11,0,0
23,13,0,0
24,12,0,0
25,16,0,0
23,13,0,0
24,17,0,0
24,18,0,0
24,14,0,0
24,14,0,0
24,13,0,0
23,18,0,0
24,14,0,0
25,13,0,0
24,8,0,0
24,16,0,0
25,13,0,0
23,9,0,0
24,6,0,0
24,2,0,0
24,8,0,0
24,8,0,0
24,6,0,0
16,17,0,0
22,11,0,0
22,11,0,0
25,15,0,0
23,12,0,0
19,21,0,0
22,15,0,0
25,18,0,0
23,18,0,0
25,15,0,0
23,16,0,0
24,13,0,0
24,14,0,0
24,15,0,0
25,14,0,0
24,9,0,0
23,9,0,0
24,10,0,0
24,9,0,0
24,9,0,0
24,9,0,0
22,15,0,0
25,11,0,0
24,7,0,0
24,9,0,0
21,19,0,0
24,14,0,0
24,15,0,0
23,11,0,0
25,9,0,0
23,13,0,0
23,14,0,0
24,14,0,0
24,14,0,0
23,13,0,0
24,11,0,0
25,12,0,0
24,12,0,0
23,13,0,0
24,10,0,0
25,17,0,0
24,10,0,0
23,14,0,0
24,12,0,0
25,12,0,0
23,13,0,0
23,13,0,0
24,13,0,0
25,16,0,0
24,13,0,0
23,16,0,0
25,14,0,0
23,10,0,0
25,9,0,0
23,13,0,0
25,10,0,0
23,11,0,0
24,6,0,0
24,10,0,0
25,11,0,0
21,17,0,0
25,12,0,0
25,13,0,0
23,9,0,0
25,11,0,0
22,15,0,0
24,14,0,0
4,3,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
