models,router_thres,conf_thres
,0.5,0.5
,0.5,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.0
"[2, 3]",0.2,0.0
"[2, 3]",0.2,0.0
"[2, 3]",0.2,0.0
"[2, 3]",0.2,0.0
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.3,0.0
"[2, 3]",0.3,0.0
"[2, 3]",0.3,0.0
"[2, 3]",0.3,0.0
"[2, 3]",0.3,0.0
"[2, 3]",0.1,0.0
"[2, 3]",0.1,0.0
"[2, 3]",0.1,0.0
"[2, 3]",0.1,0.0
"[2, 3]",0.1,0.0
"[2, 3]",0.5,0.0
"[2, 3]",0.5,0.0
"[2, 3]",0.5,0.0
"[2, 3]",0.5,0.0
"[2, 3]",0.5,0.0
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.4,0.0
"[2, 3]",0.4,0.0
"[2, 3]",0.4,0.0
"[2, 3]",0.4,0.0
"[2, 3]",0.4,0.0
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.5,0.0
"[2, 3]",0.5,0.0
"[2, 3]",0.5,0.0
"[2, 3]",0.5,0.0
"[2, 3]",0.5,0.0
"[2, 3]",0.4,0.0
"[2, 3]",0.4,0.0
"[2, 3]",0.4,0.0
"[2, 3]",0.4,0.0
"[2, 3]",0.4,0.0
"[2, 3]",0.5,0.0
"[2, 3]",0.5,0.0
"[2, 3]",0.5,0.0
"[2, 3]",0.5,0.0
"[2, 3]",0.5,0.0
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.3,0.0
"[2, 3]",0.3,0.0
"[2, 3]",0.3,0.0
"[2, 3]",0.3,0.0
"[2, 3]",0.3,0.0
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.3,0.0
"[2, 3]",0.3,0.0
"[2, 3]",0.3,0.0
"[2, 3]",0.3,0.0
"[2, 3]",0.3,0.0
"[2, 3]",0.5,0.0
"[2, 3]",0.5,0.0
"[2, 3]",0.5,0.0
"[2, 3]",0.5,0.0
"[2, 3]",0.5,0.0
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.4,0.0
"[2, 3]",0.4,0.0
"[2, 3]",0.4,0.0
"[2, 3]",0.4,0.0
"[2, 3]",0.4,0.0
"[2, 3]",0.5,0.0
"[2, 3]",0.5,0.0
"[2, 3]",0.5,0.0
"[2, 3]",0.5,0.0
"[2, 3]",0.5,0.0
"[2, 3]",0.4,0.0
"[2, 3]",0.4,0.0
"[2, 3]",0.4,0.0
"[2, 3]",0.4,0.0
"[2, 3]",0.4,0.0
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.3,0.0
"[2, 3]",0.3,0.0
"[2, 3]",0.3,0.0
"[2, 3]",0.3,0.0
"[2, 3]",0.3,0.0
"[2, 3]",0.3,0.0
"[2, 3]",0.3,0.0
"[2, 3]",0.3,0.0
"[2, 3]",0.3,0.0
"[2, 3]",0.3,0.0
"[2, 3]",0.4,0.0
"[2, 3]",0.4,0.0
"[2, 3]",0.4,0.0
"[2, 3]",0.4,0.0
"[2, 3]",0.4,0.0
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.0
"[2, 3]",0.2,0.0
"[2, 3]",0.2,0.0
"[2, 3]",0.2,0.0
"[2, 3]",0.2,0.0
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.4,0.0
"[2, 3]",0.4,0.0
"[2, 3]",0.4,0.0
"[2, 3]",0.4,0.0
"[2, 3]",0.4,0.0
"[2, 3]",0.4,0.0
"[2, 3]",0.4,0.0
"[2, 3]",0.4,0.0
"[2, 3]",0.4,0.0
"[2, 3]",0.4,0.0
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
"[1, 2]",0.8,0.6
